date,district_id,district_name,commodity_name,state_name,avg_modal_price,avg_min_price,avg_max_price,calculationType,change
2024-07-25,497,Nandurbar,Wheat,Maharashtra,2543.5,2496.5,2588.5,Daily,-286.5
2024-07-24,497,Nandurbar,Wheat,Maharashtra,2830.0,2800.0,2861.0,Daily,150.0
2024-07-23,497,Nandurbar,Wheat,Maharashtra,2680.0,2401.0,2825.0,Daily,242.5
2024-07-22,497,Nandurbar,Wheat,Maharashtra,2437.5,2337.5,2585.5,Daily,-150.5
2024-07-19,497,Nandurbar,Wheat,Maharashtra,2588.0,2426.0,2640.5,Daily,-123.0
2024-07-18,497,Nandurbar,Wheat,Maharashtra,2711.0,2501.0,2784.0,Daily,73.5
2024-07-16,497,Nandurbar,Wheat,Maharashtra,2637.5,2500.5,2794.0,Daily,-309.5
2024-07-15,497,Nandurbar,Wheat,Maharashtra,2947.0,2947.0,2947.0,Daily,1147.0
2024-07-11,497,Nandurbar,Wheat,Maharashtra,1800.0,1800.0,1800.0,Daily,-900.0
2024-07-10,497,Nandurbar,Wheat,Maharashtra,2700.0,2400.0,2825.0,Daily,27.0
2024-07-09,497,Nandurbar,Wheat,Maharashtra,2673.0,2600.0,2700.0,Daily,123.0
2024-07-08,497,Nandurbar,Wheat,Maharashtra,2550.0,2425.0,2650.0,Daily,-135.0
2024-07-05,497,Nandurbar,Wheat,Maharashtra,2685.0,2499.0,2825.0,Daily,152.0
2024-07-04,497,Nandurbar,Wheat,Maharashtra,2533.0,2315.5,2614.0,Daily,-366.0
2024-07-03,497,Nandurbar,Wheat,Maharashtra,2899.0,2899.0,2901.0,Daily,200.0
2024-07-02,497,Nandurbar,Wheat,Maharashtra,2699.0,2699.0,2699.0,Daily,67.5
2024-07-01,497,Nandurbar,Wheat,Maharashtra,2631.5,2630.5,2668.5,Daily,-68.5
2024-06-28,497,Nandurbar,Wheat,Maharashtra,2700.0,2600.0,2833.0,Daily,3.0
2024-06-27,497,Nandurbar,Wheat,Maharashtra,2697.0,2301.0,2920.0,Daily,-143.0
2024-06-26,497,Nandurbar,Wheat,Maharashtra,2840.0,2329.0,3080.0,Daily,368.5
2024-06-25,497,Nandurbar,Wheat,Maharashtra,2471.5,2355.0,2645.0,Daily,-28.5
2024-06-24,497,Nandurbar,Wheat,Maharashtra,2500.0,2500.0,2500.0,Daily,-200.0
2024-06-21,497,Nandurbar,Wheat,Maharashtra,2700.0,2700.0,2700.0,Daily,75.0
2024-06-20,497,Nandurbar,Wheat,Maharashtra,2625.0,2550.0,2781.0,Daily,-7.5
2024-06-11,497,Nandurbar,Wheat,Maharashtra,2632.5,2359.0,2895.0,Daily,193.5
2024-06-10,497,Nandurbar,Wheat,Maharashtra,2439.0,2230.0,2587.5,Daily,-111.0
2024-06-07,497,Nandurbar,Wheat,Maharashtra,2550.0,2325.5,2799.0,Daily,-50.0
2024-06-06,497,Nandurbar,Wheat,Maharashtra,2600.0,2451.0,2722.0,Daily,-60.5
2024-06-05,497,Nandurbar,Wheat,Maharashtra,2660.5,2425.5,2742.5,Daily,-91.5
2024-06-04,497,Nandurbar,Wheat,Maharashtra,2752.0,2670.0,2786.0,Daily,152.0
2024-06-03,497,Nandurbar,Wheat,Maharashtra,2600.0,2376.5,2723.5,Daily,-1.0
2024-05-31,497,Nandurbar,Wheat,Maharashtra,2601.0,2430.5,2792.5,Daily,-49.0
2024-05-30,497,Nandurbar,Wheat,Maharashtra,2650.0,2489.0,2850.5,Daily,42.0
2024-05-29,497,Nandurbar,Wheat,Maharashtra,2608.0,2350.0,2844.0,Daily,8.0
2024-05-28,497,Nandurbar,Wheat,Maharashtra,2600.0,2340.0,2839.0,Daily,226.5
2024-05-27,497,Nandurbar,Wheat,Maharashtra,2373.5,2175.0,2612.5,Daily,-264.0
2024-05-24,497,Nandurbar,Wheat,Maharashtra,2637.5,2370.5,2846.0,Daily,37.0
2024-05-21,497,Nandurbar,Wheat,Maharashtra,2600.5,2450.0,2769.0,Daily,146.5
2024-05-20,497,Nandurbar,Wheat,Maharashtra,2454.0,2233.0,2730.33,Daily,-211.0
2024-05-17,497,Nandurbar,Wheat,Maharashtra,2665.0,2443.0,2830.5,Daily,64.0
2024-05-16,497,Nandurbar,Wheat,Maharashtra,2601.0,2300.0,2925.5,Daily,-3.5
2024-05-15,497,Nandurbar,Wheat,Maharashtra,2604.5,2262.5,2810.5,Daily,-40.5
2024-05-14,497,Nandurbar,Wheat,Maharashtra,2645.0,2229.5,2805.5,Daily,38.0
2024-05-09,497,Nandurbar,Wheat,Maharashtra,2607.0,2300.0,2781.0,Daily,-40.67
2024-05-08,497,Nandurbar,Wheat,Maharashtra,2647.67,2533.67,2785.33,Daily,0.17
2024-05-07,497,Nandurbar,Wheat,Maharashtra,2647.5,2527.0,2850.0,Daily,97.5
2024-05-06,497,Nandurbar,Wheat,Maharashtra,2550.0,2307.5,2850.0,Daily,-17.0
2024-05-03,497,Nandurbar,Wheat,Maharashtra,2567.0,2292.0,2847.0,Daily,-46.0
2024-05-02,497,Nandurbar,Wheat,Maharashtra,2613.0,2475.0,2671.0,Daily,-18.0
2024-04-29,497,Nandurbar,Wheat,Maharashtra,2631.0,2551.0,2716.0,Daily,231.0
2024-04-27,497,Nandurbar,Wheat,Maharashtra,2400.0,2300.0,2500.0,Daily,-375.0
2024-04-26,497,Nandurbar,Wheat,Maharashtra,2775.0,2300.0,3062.0,Daily,159.0
2024-04-25,497,Nandurbar,Wheat,Maharashtra,2616.0,2400.0,2811.0,Daily,15.0
2024-04-24,497,Nandurbar,Wheat,Maharashtra,2601.0,2540.0,2720.0,Daily,38.0
2024-04-23,497,Nandurbar,Wheat,Maharashtra,2563.0,2299.5,2709.0,Daily,113.0
2024-04-22,497,Nandurbar,Wheat,Maharashtra,2450.0,2100.0,2863.0,Daily,-140.0
2024-04-15,497,Nandurbar,Wheat,Maharashtra,2590.0,2183.0,2785.0,Daily,134.67
2024-04-06,497,Nandurbar,Wheat,Maharashtra,2455.33,2368.67,2541.67,Daily,-87.42
2024-04-05,497,Nandurbar,Wheat,Maharashtra,2542.75,2407.0,2659.75,Daily,-67.75
2024-04-03,497,Nandurbar,Wheat,Maharashtra,2610.5,2416.0,2738.5,Daily,-27.83
2024-04-02,497,Nandurbar,Wheat,Maharashtra,2638.33,2342.33,2783.33,Daily,137.66
2024-04-01,497,Nandurbar,Wheat,Maharashtra,2500.67,2404.0,2640.67,Daily,-99.33
2024-03-30,497,Nandurbar,Wheat,Maharashtra,2600.0,2500.0,2660.0,Daily,-50.0
2024-03-29,497,Nandurbar,Wheat,Maharashtra,2650.0,2576.0,2735.0,Daily,124.0
2024-03-28,497,Nandurbar,Wheat,Maharashtra,2526.0,2271.0,2741.0,Daily,-26.5
2024-03-27,497,Nandurbar,Wheat,Maharashtra,2552.5,2350.0,2653.0,Daily,-27.5
2024-03-26,497,Nandurbar,Wheat,Maharashtra,2580.0,2387.0,2730.5,Daily,86.0
2024-03-22,497,Nandurbar,Wheat,Maharashtra,2494.0,2304.0,2597.33,Daily,-3.33
2024-03-21,497,Nandurbar,Wheat,Maharashtra,2497.33,2303.33,2609.67,Daily,-59.67
2024-03-20,497,Nandurbar,Wheat,Maharashtra,2557.0,2433.33,2632.67,Daily,207.0
2024-03-19,497,Nandurbar,Wheat,Maharashtra,2350.0,2300.0,2400.0,Daily,-185.25
2024-03-18,497,Nandurbar,Wheat,Maharashtra,2535.25,2295.25,2706.25,Daily,-27.42
2024-03-15,497,Nandurbar,Wheat,Maharashtra,2562.67,2343.67,2713.33,Daily,67.67
2024-03-14,497,Nandurbar,Wheat,Maharashtra,2495.0,2200.0,2646.0,Daily,-44.0
2024-03-13,497,Nandurbar,Wheat,Maharashtra,2539.0,2412.5,2646.0,Daily,-11.0
2024-03-12,497,Nandurbar,Wheat,Maharashtra,2550.0,2290.0,2725.5,Daily,27.67
2024-03-11,497,Nandurbar,Wheat,Maharashtra,2522.33,2319.0,2716.0,Daily,66.83
2024-03-06,497,Nandurbar,Wheat,Maharashtra,2455.5,2387.5,2535.5,Daily,81.5
2024-03-05,497,Nandurbar,Wheat,Maharashtra,2374.0,2213.67,2470.33,Daily,-23.5
2024-03-04,497,Nandurbar,Wheat,Maharashtra,2397.5,2185.5,2563.0,Daily,-132.5
2024-03-01,497,Nandurbar,Wheat,Maharashtra,2530.0,2150.0,2625.0,Daily,144.5
2024-02-29,497,Nandurbar,Wheat,Maharashtra,2385.5,2135.0,2587.75,Daily,-37.83
2024-02-28,497,Nandurbar,Wheat,Maharashtra,2423.33,2192.33,2584.0,Daily,23.33
2024-02-27,497,Nandurbar,Wheat,Maharashtra,2400.0,2151.0,2612.0,Daily,-130.5
2024-02-26,497,Nandurbar,Wheat,Maharashtra,2530.5,2354.0,2636.0,Daily,230.5
2024-02-24,497,Nandurbar,Wheat,Maharashtra,2300.0,2200.0,2500.0,Daily,-95.5
2024-02-23,497,Nandurbar,Wheat,Maharashtra,2395.5,2162.5,2413.0,Daily,-229.5
2024-02-22,497,Nandurbar,Wheat,Maharashtra,2625.0,2299.0,2761.0,Daily,94.0
2024-02-21,497,Nandurbar,Wheat,Maharashtra,2531.0,2511.0,2571.0,Daily,78.67
2024-02-20,497,Nandurbar,Wheat,Maharashtra,2452.33,1835.33,2709.0,Daily,14.83
2024-02-15,497,Nandurbar,Wheat,Maharashtra,2437.5,2096.5,2825.5,Daily,62.5
2024-02-14,497,Nandurbar,Wheat,Maharashtra,2375.0,2000.0,2771.0,Daily,28.0
2024-02-13,497,Nandurbar,Wheat,Maharashtra,2347.0,2060.5,2933.5,Daily,-228.5
2024-02-12,497,Nandurbar,Wheat,Maharashtra,2575.5,2250.0,2938.5,Daily,295.5
2024-02-10,497,Nandurbar,Wheat,Maharashtra,2280.0,2200.0,2500.0,Daily,-253.5
2024-02-09,497,Nandurbar,Wheat,Maharashtra,2533.5,2275.0,2875.5,Daily,-82.5
2024-02-08,497,Nandurbar,Wheat,Maharashtra,2616.0,2230.5,2870.0,Daily,-22.0
