,avg_modal_price,avg_min_price,avg_max_price,month,year,date,district_name,commodity_name,state_name
249,2575.0,2375.0,2725.5,1,2024,2,981,30501,30501
250,2330.0,2322.33,2413.0,1,2024,1,981,30501,30501
251,2408.67,2297.0,2550.0,12,2023,29,981,30501,30501
252,2458.5,2392.0,2492.0,12,2023,28,981,30501,30501
253,2400.0,2311.0,2500.0,12,2023,27,981,30501,30501
254,2100.0,2100.0,2100.0,12,2023,26,981,30501,30501
255,2675.0,2350.0,3021.0,12,2023,22,981,30501,30501
256,2500.0,2300.0,2701.0,12,2023,20,981,30501,30501
257,2391.67,2300.33,2525.0,12,2023,19,981,30501,30501
258,2912.0,2500.0,3152.0,12,2023,18,981,30501,30501
259,2560.0,2290.0,2810.0,12,2023,15,981,30501,30501
260,2585.5,2460.5,2900.0,12,2023,14,981,30501,30501
261,2241.0,2000.0,2500.0,12,2023,13,981,30501,30501
262,2675.5,2462.5,2970.5,12,2023,12,981,30501,30501
263,2617.67,2416.67,2825.33,12,2023,11,981,30501,30501
264,2710.0,2525.0,2890.33,12,2023,8,981,30501,30501
265,2625.5,2380.0,2800.5,12,2023,7,981,30501,30501
266,2397.0,2284.0,2500.0,12,2023,6,981,30501,30501
267,2775.0,2512.5,2996.0,12,2023,5,981,30501,30501
268,2825.5,2425.5,3051.5,12,2023,4,981,30501,30501
269,2355.5,2327.5,2450.0,11,2023,29,981,30501,30501
270,2300.0,2200.0,2754.0,11,2023,28,981,30501,30501
271,2700.0,2600.0,3100.0,11,2023,24,981,30501,30501
272,2650.0,2600.0,2743.0,11,2023,23,981,30501,30501
273,2360.5,2360.5,2373.0,11,2023,22,981,30501,30501
274,2727.5,2615.5,2970.0,11,2023,21,981,30501,30501
275,2800.5,2713.0,3042.5,11,2023,20,981,30501,30501
276,2578.33,2416.67,2738.33,11,2023,17,981,30501,30501
277,2469.33,2397.0,2516.67,11,2023,16,981,30501,30501
278,2731.0,2561.0,3152.0,11,2023,9,981,30501,30501
279,2638.0,2450.0,2883.67,11,2023,8,981,30501,30501
280,2634.5,2546.0,2800.0,11,2023,7,981,30501,30501
281,2606.25,2420.0,2775.25,11,2023,6,981,30501,30501
282,2705.0,2593.0,2933.5,11,2023,3,981,30501,30501
283,2750.0,2570.5,3000.5,11,2023,2,981,30501,30501
284,2550.33,2333.33,2707.0,11,2023,1,981,30501,30501
285,2657.5,2609.5,2746.0,10,2023,31,981,30501,30501
286,2888.0,2800.5,2975.5,10,2023,30,981,30501,30501
287,2561.0,1985.0,3071.0,10,2023,27,981,30501,30501
288,2787.5,2646.0,3041.5,10,2023,26,981,30501,30501
289,2408.33,2342.0,2658.33,10,2023,25,981,30501,30501
290,2730.0,2730.0,3200.0,10,2023,20,981,30501,30501
291,2562.5,2487.5,2705.5,10,2023,19,981,30501,30501
292,2633.0,2581.0,2705.5,10,2023,18,981,30501,30501
293,2500.0,2500.0,2500.0,10,2023,17,981,30501,30501
294,2333.0,2310.5,2358.0,10,2023,16,981,30501,30501
295,2175.0,2000.0,2300.0,10,2023,14,981,30501,30501
296,2401.0,1599.0,2622.0,10,2023,13,981,30501,30501
297,2551.0,1800.0,2651.0,10,2023,12,981,30501,30501
298,2703.0,2558.5,2939.0,10,2023,11,981,30501,30501
299,2612.5,2488.0,2846.0,10,2023,10,981,30501,30501
300,2705.0,2623.5,2870.5,10,2023,9,981,30501,30501
301,2682.5,2425.0,2978.0,10,2023,6,981,30501,30501
302,2657.5,2546.5,3009.0,10,2023,5,981,30501,30501
303,2650.5,2549.0,2811.0,10,2023,4,981,30501,30501
304,2621.0,2502.0,2811.0,10,2023,3,981,30501,30501
305,2600.0,2500.0,2682.0,9,2023,29,981,30501,30501
306,2600.0,2598.0,2676.0,9,2023,27,981,30501,30501
307,2600.0,2576.0,2832.0,9,2023,26,981,30501,30501
308,2652.0,2651.0,2901.0,9,2023,25,981,30501,30501
309,2625.0,2565.5,2698.0,9,2023,22,981,30501,30501
310,2550.0,2411.0,2726.0,9,2023,21,981,30501,30501
311,2580.0,2246.0,2701.0,9,2023,20,981,30501,30501
312,2650.0,2575.0,2700.0,9,2023,18,981,30501,30501
313,2470.0,2300.0,2598.0,9,2023,15,981,30501,30501
314,2526.0,2400.0,2641.0,9,2023,13,981,30501,30501
315,2541.0,2400.0,2727.0,9,2023,12,981,30501,30501
316,2576.0,2496.0,2732.0,9,2023,11,981,30501,30501
317,2489.0,2489.0,2489.0,9,2023,8,981,30501,30501
318,2563.0,2450.0,2728.0,9,2023,5,981,30501,30501
319,2537.5,2397.0,2687.5,9,2023,4,981,30501,30501
320,2588.0,2546.5,2648.5,9,2023,1,981,30501,30501
321,2540.0,2300.0,2801.0,8,2023,31,981,30501,30501
322,2525.0,2251.0,2750.0,8,2023,29,981,30501,30501
323,2625.0,2395.5,2763.0,8,2023,28,981,30501,30501
324,2535.0,2400.0,2612.0,8,2023,25,981,30501,30501
325,2590.0,2293.5,2791.5,8,2023,24,981,30501,30501
326,2701.0,2400.0,2703.0,8,2023,23,981,30501,30501
327,2635.0,2601.0,2691.0,8,2023,22,981,30501,30501
328,2425.0,2351.0,2490.0,8,2023,21,981,30501,30501
329,2250.0,2000.0,2400.0,8,2023,19,981,30501,30501
330,2592.0,2376.0,2681.0,8,2023,18,981,30501,30501
331,2575.0,2466.0,2732.5,8,2023,17,981,30501,30501
332,2575.0,2515.0,2651.0,8,2023,16,981,30501,30501
333,2475.0,2447.0,2631.0,8,2023,14,981,30501,30501
334,2530.0,2476.0,2571.0,8,2023,11,981,30501,30501
335,2575.0,2455.0,2756.0,8,2023,10,981,30501,30501
336,2526.0,2362.5,2725.0,8,2023,8,981,30501,30501
337,2600.0,2300.0,2900.0,8,2023,7,981,30501,30501
338,2450.0,2370.0,2576.0,8,2023,4,981,30501,30501
339,2553.5,2143.0,2684.5,8,2023,3,981,30501,30501
340,2475.5,2363.0,2588.0,8,2023,2,981,30501,30501
341,2517.0,2351.0,2541.5,8,2023,1,981,30501,30501
342,2503.0,2371.5,2598.5,7,2023,31,981,30501,30501
343,2430.0,2283.0,2505.5,7,2023,28,981,30501,30501
344,2193.0,2158.5,2205.5,7,2023,27,981,30501,30501
345,2571.0,2491.0,2601.0,7,2023,25,981,30501,30501
346,2312.5,2195.0,2449.0,7,2023,24,981,30501,30501
347,2337.5,2275.0,2528.0,7,2023,21,981,30501,30501
348,2375.0,2201.0,2531.0,7,2023,20,981,30501,30501
349,2450.0,2100.0,2725.0,7,2023,19,981,30501,30501
350,2358.0,2207.0,2588.0,7,2023,18,981,30501,30501
351,2300.0,2194.0,2425.0,7,2023,17,981,30501,30501
352,2121.0,2000.0,2200.0,7,2023,15,981,30501,30501
353,2382.5,2353.0,2468.0,7,2023,14,981,30501,30501
354,2175.0,2025.0,2325.5,7,2023,13,981,30501,30501
